,ID,Recency,Frequency,Monetary,RFM,Segment,BMI,Income,Ethnicity,Lifestage,Strata,Members,Loc
0,101011101,94.82775807701344,109,35.61376146788991,332.0,Low-Spending Loyalists,Obese,1500 - 1999,Malay,Empty Nesters,Urban,1-3,North
1,101016101,100.5379673878113,71,26.4169014084507,321.0,New customers,Healthy,1500 - 1999,Malay,Teens Aches,Urban,1-3,North
2,101019101,80.7978498267804,153,46.93071895424838,443.0,Best customers,Obese,< 1500,Malay,Teens Aches,Urban,4,North
3,101024101,105.6666876750426,153,38.97254901960783,342.0,Low-Spending Loyalists,Over Weight,1500 - 1999,Chinese,Nesting Families,Urban,1-3,North
4,105009103,89.91992878335142,156,30.045512820512823,341.0,Low-Spending Loyalists,Over Weight,< 1500,Malay,Empty Nesters,Rural,1-3,North
5,105015101,787.8559853884483,42,47.47857142857142,123.0,Churned,Healthy,2000 - 2999,Malay,Teens and Toddlers,Rural,7+,North
6,105017101,125.03393212138893,151,9.094701986754963,241.0,At-Risk,Obese,< 1500,Malay,Matured Families,Rural,1-3,North
7,105021106,80.7978498267804,156,61.71538461538461,443.0,Best customers,Obese,4000 - 4999,Malay,Matured Families,Rural,4,North
8,105027101,129.87423735017546,136,42.7441176470588,242.0,At-Risk,Healthy,< 1500,Malay,Empty Nesters,Rural,1-3,North
9,105031104,107.6343371937368,135,41.84296296296295,242.0,At-Risk,Over Weight,< 1500,Malay,Teens and Toddlers,Rural,5,North
10,105039101,701.6208068103481,15,30.15333333333334,111.0,Lost,Obese,2000 - 2999,Malay,Teens Aches,Rural,6,North
11,105043101,80.7978498267804,154,134.04870129870127,444.0,Best customers,Over Weight,2000 - 2999,Malay,Teens Aches,Rural,5,North
12,105044101,80.7978498267804,125,23.382400000000015,431.0,Low-Spending Loyalists,Over Weight,2000 - 2999,Chinese,Matured Families,Rural,4,North
